| ÉPOCA: | 202 | ERRO DE APROXIMAÇÃO: | 23.39786453590743
| ÉPOCA: | 203 | ERRO DE APROXIMAÇÃO: | 23.284523983509512
| ÉPOCA: | 204 | ERRO DE APROXIMAÇÃO: | 23.172284738535115
| ÉPOCA: | 205 | ERRO DE APROXIMAÇÃO: | 23.06113081369381
| ÉPOCA: | 206 | ERRO DE APROXIMAÇÃO: | 22.951046529492846
| ÉPOCA: | 207 | ERRO DE APROXIMAÇÃO: | 22.842016506871946
| ÉPOCA: | 208 | ERRO DE APROXIMAÇÃO: | 22.73402566004833
| ÉPOCA: | 209 | ERRO DE APROXIMAÇÃO: | 22.627059189563703
| ÉPOCA: | 210 | ERRO DE APROXIMAÇÃO: | 22.521102575529838
| ÉPOCA: | 211 | ERRO DE APROXIMAÇÃO: | 22.416141571062475
| ÉPOCA: | 212 | ERRO DE APROXIMAÇÃO: | 22.312162195901156
| ÉPOCA: | 213 | ERRO DE APROXIMAÇÃO: | 22.209150730204875
| ÉPOCA: | 214 | ERRO DE APROXIMAÇÃO: | 22.107093708521734
| ÉPOCA: | 215 | ERRO DE APROXIMAÇÃO: | 22.0059779139246
| ÉPOCA: | 216 | ERRO DE APROXIMAÇÃO: | 21.90579037230795
| ÉPOCA: | 217 | ERRO DE APROXIMAÇÃO: | 21.806518346841273
| ÉPOCA: | 218 | ERRO DE APROXIMAÇÃO: | 21.708149332573313
| ÉPOCA: | 219 | ERRO DE APROXIMAÇÃO: | 21.610671051182884
| ÉPOCA: | 220 | ERRO DE APROXIMAÇÃO: | 21.514071445872105
| ÉPOCA: | 221 | ERRO DE APROXIMAÇÃO: | 21.418338676395944
| ÉPOCA: | 222 | ERRO DE APROXIMAÇÃO: | 21.32346111422598
| ÉPOCA: | 223 | ERRO DE APROXIMAÇÃO: | 21.229427337841813
| ÉPOCA: | 224 | ERRO DE APROXIMAÇÃO: | 21.136226128148817
| ÉPOCA: | 225 | ERRO DE APROXIMAÇÃO: | 21.043846464016298
| ÉPOCA: | 226 | ERRO DE APROXIMAÇÃO: | 20.952277517932572
| ÉPOCA: | 227 | ERRO DE APROXIMAÇÃO: | 20.86150865177514
| ÉPOCA: | 228 | ERRO DE APROXIMAÇÃO: | 20.771529412690292
| ÉPOCA: | 229 | ERRO DE APROXIMAÇÃO: | 20.682329529079794
| ÉPOCA: | 230 | ERRO DE APROXIMAÇÃO: | 20.593898906691685
| ÉPOCA: | 231 | ERRO DE APROXIMAÇÃO: | 20.506227624811277
| ÉPOCA: | 232 | ERRO DE APROXIMAÇÃO: | 20.41930593255039
| ÉPOCA: | 233 | ERRO DE APROXIMAÇÃO: | 20.333124245231353
| ÉPOCA: | 234 | ERRO DE APROXIMAÇÃO: | 20.24767314086167
| ÉPOCA: | 235 | ERRO DE APROXIMAÇÃO: | 20.162943356699973
| ÉPOCA: | 236 | ERRO DE APROXIMAÇÃO: | 20.078925785906893
| ÉPOCA: | 237 | ERRO DE APROXIMAÇÃO: | 19.995611474281244
| ÉPOCA: | 238 | ERRO DE APROXIMAÇÃO: | 19.912991617076383
| ÉPOCA: | 239 | ERRO DE APROXIMAÇÃO: | 19.83105755589743
| ÉPOCA: | 240 | ERRO DE APROXIMAÇÃO: | 19.749800775674284
| ÉPOCA: | 241 | ERRO DE APROXIMAÇÃO: | 19.669212901709844
| ÉPOCA: | 242 | ERRO DE APROXIMAÇÃO: | 19.58928569680119
| ÉPOCA: | 243 | ERRO DE APROXIMAÇÃO: | 19.510011058430216
| ÉPOCA: | 244 | ERRO DE APROXIMAÇÃO: | 19.43138101602397
| ÉPOCA: | 245 | ERRO DE APROXIMAÇÃO: | 19.353387728281053
| ÉPOCA: | 246 | ERRO DE APROXIMAÇÃO: | 19.276023480562408
| ÉPOCA: | 247 | ERRO DE APROXIMAÇÃO: | 19.199280682345687
| ÉPOCA: | 248 | ERRO DE APROXIMAÇÃO: | 19.123151864739974
| ÉPOCA: | 249 | ERRO DE APROXIMAÇÃO: | 19.04762967806097
| ÉPOCA: | 250 | ERRO DE APROXIMAÇÃO: | 18.972706889462682
| ÉPOCA: | 251 | ERRO DE APROXIMAÇÃO: | 18.898376380626637
| ÉPOCA: | 252 | ERRO DE APROXIMAÇÃO: | 18.82463114550404
| ÉPOCA: | 253 | ERRO DE APROXIMAÇÃO: | 18.751464288113073
| ÉPOCA: | 254 | ERRO DE APROXIMAÇÃO: | 18.678869020386145
| ÉPOCA: | 255 | ERRO DE APROXIMAÇÃO: | 18.606838660068373
| ÉPOCA: | 256 | ERRO DE APROXIMAÇÃO: | 18.535366628664466
| ÉPOCA: | 257 | ERRO DE APROXIMAÇÃO: | 18.46444644943373
| ÉPOCA: | 258 | ERRO DE APROXIMAÇÃO: | 18.3940717454309
